"","LOCATION","Time","UNIT","Value","Category"
"1","AUS",2000,"AUD",1309618,"GDP"
"2","AUS",2001,"AUD",1361736,"GDP"
"3","AUS",2002,"AUD",1403823,"GDP"
"4","AUS",2003,"AUD",1463125,"GDP"
"5","AUS",2004,"AUD",1509274,"GDP"
"6","AUS",2005,"AUD",1550859,"GDP"
"7","AUS",2006,"AUD",1609379,"GDP"
"8","AUS",2007,"AUD",1667095,"GDP"
"9","AUS",2008,"AUD",1698646,"GDP"
"10","AUS",2009,"AUD",1736467,"GDP"
"11","AUS",2010,"AUD",1778298,"GDP"
"12","AUS",2011,"AUD",1847979,"GDP"
"13","AUS",2012,"AUD",1896141,"GDP"
"14","AUS",2013,"AUD",1945581,"GDP"
"15","AUS",2014,"AUD",1988419,"GDP"
"16","AUS",2015,"AUD",2043680,"GDP"
"17","AUS",2016,"AUD",2091067,"GDP"
"18","AUS",2017,"AUD",2151841,"GDP"
"19","AUS",2018,"AUD",2198775,"GDP"
"20","AUS",2019,"AUD",2191416,"GDP"
"21","AUS",2020,"AUD",2237695,"GDP"
"22","AUS",2021,"AUD",2333221,"GDP"
"23","AUS",2022,"AUD",2403614,"GDP"
"24","AUS",2000,"AUD",346139,"EXP_GDS_SRVS"
"25","AUS",2001,"AUD",344439,"EXP_GDS_SRVS"
"26","AUS",2002,"AUD",346176,"EXP_GDS_SRVS"
"27","AUS",2003,"AUD",350777,"EXP_GDS_SRVS"
"28","AUS",2004,"AUD",362912,"EXP_GDS_SRVS"
"29","AUS",2005,"AUD",373756,"EXP_GDS_SRVS"
"30","AUS",2006,"AUD",389293,"EXP_GDS_SRVS"
"31","AUS",2007,"AUD",404939,"EXP_GDS_SRVS"
"32","AUS",2008,"AUD",414744,"EXP_GDS_SRVS"
"33","AUS",2009,"AUD",434279,"EXP_GDS_SRVS"
"34","AUS",2010,"AUD",437973,"EXP_GDS_SRVS"
"35","AUS",2011,"AUD",458134,"EXP_GDS_SRVS"
"36","AUS",2012,"AUD",482440,"EXP_GDS_SRVS"
"37","AUS",2013,"AUD",511740,"EXP_GDS_SRVS"
"38","AUS",2014,"AUD",546993,"EXP_GDS_SRVS"
"39","AUS",2015,"AUD",581967,"EXP_GDS_SRVS"
"40","AUS",2016,"AUD",613889,"EXP_GDS_SRVS"
"41","AUS",2017,"AUD",639106,"EXP_GDS_SRVS"
"42","AUS",2018,"AUD",664065,"EXP_GDS_SRVS"
"43","AUS",2019,"AUD",652456,"EXP_GDS_SRVS"
"44","AUS",2020,"AUD",596080,"EXP_GDS_SRVS"
"45","AUS",2021,"AUD",593271,"EXP_GDS_SRVS"
"46","AUS",2022,"AUD",631654,"EXP_GDS_SRVS"
"47","AUS",2000,"AUD",167098,"IMP_GDS_SRVS"
"48","AUS",2001,"AUD",169352,"IMP_GDS_SRVS"
"49","AUS",2002,"AUD",191702,"IMP_GDS_SRVS"
"50","AUS",2003,"AUD",217580,"IMP_GDS_SRVS"
"51","AUS",2004,"AUD",244777,"IMP_GDS_SRVS"
"52","AUS",2005,"AUD",265487,"IMP_GDS_SRVS"
"53","AUS",2006,"AUD",293002,"IMP_GDS_SRVS"
"54","AUS",2007,"AUD",335447,"IMP_GDS_SRVS"
"55","AUS",2008,"AUD",322995,"IMP_GDS_SRVS"
"56","AUS",2009,"AUD",345425,"IMP_GDS_SRVS"
"57","AUS",2010,"AUD",381450,"IMP_GDS_SRVS"
"58","AUS",2011,"AUD",424560,"IMP_GDS_SRVS"
"59","AUS",2012,"AUD",427521,"IMP_GDS_SRVS"
"60","AUS",2013,"AUD",415072,"IMP_GDS_SRVS"
"61","AUS",2014,"AUD",421376,"IMP_GDS_SRVS"
"62","AUS",2015,"AUD",420003,"IMP_GDS_SRVS"
"63","AUS",2016,"AUD",442043,"IMP_GDS_SRVS"
"64","AUS",2017,"AUD",472782,"IMP_GDS_SRVS"
"65","AUS",2018,"AUD",473851,"IMP_GDS_SRVS"
"66","AUS",2019,"AUD",445575,"IMP_GDS_SRVS"
"67","AUS",2020,"AUD",430167,"IMP_GDS_SRVS"
"68","AUS",2021,"AUD",459869,"IMP_GDS_SRVS"
"69","AUS",2022,"AUD",502600,"IMP_GDS_SRVS"
"70","AUT",2000,"EUR",280476.58,"GDP"
"71","AUT",2001,"EUR",284030.69,"GDP"
"72","AUT",2002,"EUR",288721.61,"GDP"
"73","AUT",2003,"EUR",291439.84,"GDP"
"74","AUT",2004,"EUR",299411.07,"GDP"
"75","AUT",2005,"EUR",306130.05,"GDP"
"76","AUT",2006,"EUR",316703.91,"GDP"
"77","AUT",2007,"EUR",328508.78,"GDP"
"78","AUT",2008,"EUR",333306.4,"GDP"
"79","AUT",2009,"EUR",320758.82,"GDP"
