Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962871744,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.622920639,4.182002641,-0.944954681,1.11050501,7.29372894,-0.383139604,1.127412128,3.089543901,1.835755679,-11.67774203,-2.733455707,3.369238122,-1.040800135,6.431481824,-1.586574644,-0.623625633,1.719624116,7.048533259,2.381730126,-2.302836844,-23.98258035,27.63935697,10.45831735,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.254875995,7.965826648,5.148205598,4.579316878,5.346211137,3.935914557,5.260546591,4.010710547,5.279906573,4.683213739,5.400756754,2.164868832,4.439657818,5.892997262,1.747772545,2.858061072,1.253908063,1.070397623,2.807232209,5.397545405,4.28226259,0.518015783,0.181476503,3.0276415,-0.419301301,2.289809298,4.237786189,4.019012101,2.896943654,-0.027216081,0.139527425,-2.000775991,-0.420215528,1.982765385,4.353770627,5.462321357,4.443446939,1.852617931,2.653553746,3.34857352,3.636553193,3.928835727,3.106138743,5.525630903,6.13157864,6.57581608,6.598625271,4.329092325,0.660371254,5.157236643,3.701852914,0.881674422,4.216607499,4.007576949,2.965062327,2.219014608,2.57194148,2.491354696,2.040616966,-2.799038075,4.300440828,3.43513777,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73883937,,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.857726806,3.772942634,7.277246308,5.412949744,4.0847493,-1.776354575,-9.549549658,1.458912297,15.53658906,17.90917691,10.80269682,3.160522517,4.222534701,10.24236603,-2.177401334,8.552396015,4.741918345,-2.189249754,5.212655678,2.047925537,-6.971148351,-3.375383397,-6.561073572,0.564067587,5.554284283,1.404712356,1.457124466,4.868029605,2.275953519,6.576215199,1.109775647,2.689938933,-1.206116126,-0.271454262,1.931597615,4.639763745,4.258150797,3.481741098,1.420224004,3.731448802,5.203518213,9.918280892,5.53557456,7.996553747,5.824941337,5.374564255,5.52431402,6.279591728,6.284120752,6.969282599,4.848813839,5.136468595,6.107012773,5.926265571,2.813543412,0.142091829,2.286269536,2.838828802,3.200918667,-0.938161715,3.976317465,3.766353893,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.856401652,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465361,8.149743488,7.788467203,5.618789729,0.542205659,3.303787046,2.838575568,1.463000179,0.041557195,2.208727611,-0.132474511,1.246461111,1.770118317,1.78468669,2.321433034,3.253321776,5.547122171,5.094326203,4.82703425,3.781387586,2.546003524,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.74110025,8.173429916,-0.598208875,11.04183643,9.124468474,3.381290318,-8.273873651,-6.199461035,1.343365997,-2.023068098,4.367471257,-0.065281956,5.773455104,2.240029216,12.08550714,2.42662822,5.141888151,3.130602151,3.335454356,3.025862911,4.741739547,4.735506827,5.101042653,1.859651772,6.587671244,1.743116398,0.72296456,4.915326443,8.833923953,5.501930905,6.121661844,4.551004904,5.536045266,0.360015564,4.713732711,3.432115413,4.729944978,2.618809546,2.433244423,3.443813235,3.686091028,1.239447448,2.438225409,1.359776463,-5.048285079,3.732645566,6.033833417,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.216121813,1.824480789,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,4.354755299,7.850418125,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.71800993,4.95636996,
