"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","16111.8430742284","18732.2636831905","22266.3446518792","24865.1772277071","25411.1679106206","26564.6614473147","27194.414337913","28307.3769539095","29666.2306883388","29497.963307548","28958.1435767934","30074.406009441","29765.5149353008","29262.6156505973","30703.6609506328","31426.8788010415","30760.2072393487","30793.1347744709","32742.7608096139","32291.7689727542","32272.2508370174","32863.3622707957","33053.7672344378","28836.0169548305","27732.2137128695","28398.5576380853","27876.2063849817","29447.5797716129","28780.6307793936","28419.2645344661","28737.8962410209","30598.6487265662","31172.8021926197","30317.6069080086","23015.7418669984","29390.3807256369","32492.1786261216","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1184.27867879733","1156.53130504489","1215.44493320461","1243.77434172299","1265.21714073278","1296.04056997184","1310.18804425984","1341.14978146429","1355.86885594926","1387.24764740984","1411.13000104544","1445.215743854","1435.29709142143","1456.71720194922","1497.83182034755","1479.87459903249","1478.26855294802","1454.84553929724","1427.41400110905","1422.7728527628","1456.38007785533","1474.25937647097","1436.91003697365","1397.41632081405","1398.61844868008","1352.57848012784","1342.96209030914","1358.27255491619","1372.78752863318","1373.48237964288","1334.26786242133","1299.83286446886","1241.13847672815","1203.91657998843","1196.4412054773","1216.57089182374","1249.3769609289","1272.06811948235","1263.85314863692","1265.01018023428","1274.44371293222","1287.44521271225","1304.03584753821","1310.24196405184","1347.01302954085","1392.47932975406","1444.99491661118","1499.1611282969","1521.96640758239","1490.93078133474","1525.74270715883","1540.05393457295","1512.1920131688","1533.32559210204","1551.71485840705","1554.167298753","1546.46449510659","1545.20313608983","1542.23852707118","1532.46891038598","1450.72153419584","1474.65767391497","1487.47641821414","",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344.22418262143","347.415241061641","338.739397838443","363.541469198432","367.485851243822","410.861612505237","418.523172772314","490.272836555321","544.689296876057","527.197339273798","570.676064337005","582.103978902877","576.487820334782","566.881132665072","564.920843553397","563.488239421983","553.973308908649","559.140956898688","529.144912477888","407.616507361737","","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1088.78525234423","1086.0337244808","1103.33464793212","1158.251737796","1194.53192122131","1216.05470843332","1167.90884118915","1032.87349134881","1024.42196109939","1156.70050017199","1332.3044278079","1441.66435350355","1451.87050038452","1476.10032526688","1586.09626132958","1511.01180779141","1597.1628672001","1628.3516908182","1549.11045055075","1584.69007622168","1572.40816723264","1422.26173816902","1335.5831379536","1214.90747001298","1190.61612962586","1223.64301714111","1208.07427620492","1193.29611640966","1218.11856766063","1212.29811719265","1258.60632054638","1239.98270837593","1239.49407988553","1192.6834419728","1158.9581854208","1150.36262210908","1172.23297563948","1190.14507826972","1198.94818964096","1183.93520411502","1195.24858828069","1223.19825327284","1307.7516723409","1342.3365909296","1409.79908555107","1450.70155976404","1486.55949108896","1525.53337755839","1576.6650465984","1629.40373361412","1694.72065531571","1727.67602511378","1766.72229692662","1824.23385171716","1880.61221922936","1882.26403755398","1835.14989067083","1827.64541568267","1830.66433971186","1840.77668838459","1777.02650115603","1801.331654556","1822.87871597875","",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2768.6833105029","2554.43296432359","2464.30129844018","2476.58082702536","2532.10029518475","2527.96094261146","2510.14856261012","2524.31883763848","2590.32913984092","2505.49812529435","2339.47356417521","2285.37319639239","2083.15666572792","1534.26313955894","1505.86974300119","1675.7080928899","1840.3540847702","1909.46893931025","1934.55795019266","1913.99892141307","1909.50206453685","1925.50803255677","2116.85168185367","2106.98586707062","2257.15236294246","2505.65503242824","2696.44109907247","2964.33545349134","3176.67216597867","3087.8114336694","3105.44965920104","3094.73391897887","3235.17460857542","3270.96634929444","3304.68115189551","3217.33924430561","3023.91632299594","2914.12714310313","2777.84304535304","2666.2539190069","2435.02485749107","2387.42991017196","2385.11995881418","",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.50583847766","1804.01077946774","1818.36782013759","1799.87861664229","1740.3476817517","1735.2903123439","1798.01507982468","1748.57872030222","1691.53094901661","1808.64607818532","1606.29646776458","1163.49159838489","1086.4387714304","1197.58090750054","1305.00106057165","1488.02088119627","1633.55200001885","1464.29796254199","1603.64765027651","1821.87313102694","1960.88245974115","2143.52683947815","2247.49808010881","2380.64462078713","2522.44937446209","2675.50863709675","2851.36775919961","3044.89661682055","3298.47890843532","3432.1708719722","3577.11432498868","3678.04770145146","3736.34007957648","3780.69919254096","3855.76074409659","3952.80357364813","4090.37272829183","4249.8200493985","4431.55559506989","4543.38771048312","4418.66087378292","4857.11194201819","5155.29085964151","",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","43258.9186512359","42166.1527998325","42586.6477158005","42965.9571768044","42570.3712607251","40266.2572129463","39247.9400620474","38203.6604447882","36828.8540076601","35152.0601247104","34446.3771932635","33120.9590728872","32134.1681346522","31219.5700921465","30459.1455049139","30008.0559598103","29764.1012474746","30076.3728549942","30323.3137754862","30565.1390093744","30578.0743671099","30301.6441551164","29596.0360749833","28363.3522654707","28144.3876184935","28051.4032005126","28797.8667293952","31149.3702860207","31895.9957680708","32966.2523329394","33901.192899197","35722.5456714568","35749.9457061609","37250.3126885329","38696.5127853516","39307.1593204183","40994.4668667136","42724.58727008","41470.457414301","40442.8041055161","40937.2932979424","41486.2189634929","39174.9156898451","37597.7229935195","38402.6673015253","38885.5485894753","39886.6588218818","39321.632781089","39320.1109176824","39413.8093931238","34394.4301971186","36616.117961953","39447.5382468325","",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4042.88224010426","4518.02975292354","4721.83582656497","4550.41949495474","4888.42418967674","5153.3896486433","5161.10319574173","4589.10101705495","4170.22425207808","4096.90991229855","3895.32418641878","3945.45886943986","3829.51290404617","3945.08121090615","3930.94450446497","4271.41531037565","4281.93622262239","4392.48048820036","4410.75646900241","4437.31716117626","4460.65325235473","4562.46798464436","4667.94966080056","4794.89072785731","4774.87282845036","4975.68486484194","4951.23190563685","4878.87712338828","5009.25386772158","5335.56984752928","5500.77807162567","5692.88045685422","5796.85623280333","5956.5958222155","5824.71465103227","5954.12382485891","6027.42760111875","6179.22363325152","6198.49137058667","6209.03959936293","6287.31493484329","6384.38000494195","6332.50798732642","6353.72245619453","6309.96407620479","5887.91549324145","6010.12601936724","6260.80266456744","",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","105688.087067489","108961.571488121","114972.043160571","99322.2996263166","106457.49391841","118141.52955012","113965.833293577","100147.6679758","90020.9728002308","88572.8594294525","80981.753479034","64687.5606771134","62325.6331829893","56808.4141377029","59965.2317939883","66911.0893469943","63849.7197054919","62622.6869086712","60359.1142362887","61592.225206014","62877.6840790433","62935.9847357984","63791.5940548517","60144.8145598198","58365.1551778295","61187.7697497959","58831.0896667344","57286.4960595662","59389.5103521828","62139.5869280172","60778.4686072632","58336.5627164704","50214.1370921627","43541.970000895","36076.5277322647","34540.971505971","36288.3331804331","36567.6222908264","38034.9683968782","39242.275310352","41525.1389031283","43457.5134802784","43419.5637407047","43644.1470438183","43785.4172694435","41276.0555102387","42715.4401713113","45698.0105275178","",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7410.30502869639","7687.5173380417","7498.8400606558","6986.56480206001","7572.2311661756","8241.52933666809","8059.45043146279","8187.37335067668","8450.03706417302","9126.18647909255","9257.89557164576","9628.03783789492","9630.01036600914","9739.41627064185","10105.0495075297","9935.93863469002","9581.84140311136","10083.8151828918","9476.06343622627","10278.9246238181","10270.9561180014","9585.20677182144","9366.17037951494","9622.34731895272","9624.40455636866","8987.93370569176","9397.88360849477","9507.33981264281","9262.96392660836","8473.02656895128","8144.49429397801","8762.66138351332","9327.8594509636","9957.25652230492","10397.3792874496","9969.33157579723","10388.5387104408","11097.3820634618","11391.9451576314","10880.2062074837","10672.7220353121","10090.6534434286","8895.31964210751","9581.96979219468","10341.6434058805","11141.3106718375","11913.9585322637","12857.0925770961","13246.6348917152","12336.8619385237","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13105.397163317","12716.2242038544","11346.6521128461","12444.3182669731","12940.7384352157","",
