"","X","type_code","freq_code","ref_period_id","ref_year","ref_month","period","reporter_code","reporter_iso","reporter_desc","flow_code","flow_desc","partner_code","partner_iso","partner_desc","partner2code","partner2iso","partner2desc","classification_code","classification_search_code","is_original_classification","cmd_code","cmd_desc","aggr_level","is_leaf","customs_code","customs_desc","mos_code","mot_code","mot_desc","qty_unit_code","qty_unit_abbr","qty","is_qty_estimated","alt_qty_unit_code","alt_qty_unit_abbr","alt_qty","is_alt_qty_estimated","net_wgt","is_net_wgt_estimated","gross_wgt","is_gross_wgt_estimated","cifvalue","fobvalue","primary_value","legacy_estimation_flag","is_reported","is_aggregate","wine_cd","std_net_wgt"
"1",8,"C","A",20230101,2023,52,2023,20,"AND","Andorra","X","Export",251,"FRA","France",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",2208.5,TRUE,-1,"N/A",0,FALSE,2208.5,FALSE,0,FALSE,NA,928913.182,928913.182,2,FALSE,TRUE,"22",9.80373195334001e-06
"2",9,"C","A",20230101,2023,52,2023,20,"AND","Andorra","X","Export",620,"PRT","Portugal",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",16.5,TRUE,-1,"N/A",0,FALSE,16.5,FALSE,0,FALSE,NA,5091.328,5091.328,2,FALSE,TRUE,"22",7.29365730375771e-08
"3",10,"C","A",20230101,2023,52,2023,20,"AND","Andorra","X","Export",724,"ESP","Spain",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",6196.7,TRUE,-1,"N/A",0,FALSE,6196.7,FALSE,0,FALSE,NA,456986.819,456986.819,2,FALSE,TRUE,"22",2.75082748984687e-05
"4",29,"C","A",20230101,2023,52,2023,28,"ATG","Antigua and Barbuda","X","Export",500,"MSR","Montserrat",0,"W00","World","H3","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",4176,FALSE,7,"l",4176,FALSE,4750.86,FALSE,0,FALSE,NA,46397.956,46397.956,0,FALSE,TRUE,"22",2.10898564711619e-05
"5",30,"C","A",20230101,2023,52,2023,28,"ATG","Antigua and Barbuda","X","Export",659,"KNA","Saint Kitts and Nevis",0,"W00","World","H3","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",48,FALSE,7,"l",48,FALSE,12.2,FALSE,0,FALSE,NA,14.815,14.815,0,FALSE,TRUE,"22",5.3847877720378e-08
"6",31,"C","A",20230101,2023,52,2023,28,"ATG","Antigua and Barbuda","X","Export",842,"USA","USA",0,"W00","World","H3","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",1,FALSE,7,"l",1,FALSE,6.83,FALSE,0,FALSE,NA,118.981,118.981,0,FALSE,TRUE,"22",3.00092047312247e-08
"7",70,"C","A",20230101,2023,52,2023,31,"AZE","Azerbaijan","X","Export",48,"BHR","Bahrain",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",108,FALSE,7,"l",108,FALSE,194.4,FALSE,0,FALSE,NA,820.8,820.8,0,FALSE,TRUE,"22",8.62675851393326e-07
"8",71,"C","A",20230101,2023,52,2023,31,"AZE","Azerbaijan","X","Export",76,"BRA","Brazil",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",41.75,FALSE,7,"l",41.75,FALSE,41.75,FALSE,0,FALSE,NA,195.4,195.4,0,FALSE,TRUE,"22",1.85027167632758e-07
"9",72,"C","A",20230101,2023,52,2023,31,"AZE","Azerbaijan","X","Export",100,"BGR","Bulgaria",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",2160,FALSE,7,"l",2160,FALSE,3600,FALSE,0,FALSE,NA,8226.61,8226.61,0,FALSE,TRUE,"22",1.5980922542615e-05
"10",73,"C","A",20230101,2023,52,2023,31,"AZE","Azerbaijan","X","Export",112,"BLR","Belarus",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",130941,FALSE,7,"l",130941,FALSE,201116,FALSE,0,FALSE,NA,302766.61,302766.61,0,FALSE,TRUE,"22",0.000892800165396545
"11",74,"C","A",20230101,2023,52,2023,31,"AZE","Azerbaijan","X","Export",124,"CAN","Canada",0,"W00","World","H6","HS",TRUE,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",4,FALSE,"C00","TOTAL CPC",0,0,"TOTAL MOT",7,"l",3.75,FALSE,7,"l",3.75,FALSE,9,FALSE,0,FALSE,NA,300,300,0,FALSE,TRUE,"22",3.96423370192065e-08
